title,genres
Double Happiness (1994),Drama
Muriel's Wedding (1994),Comedy
Ace Ventura: Pet Detective (1994),Comedy
Bullets Over Broadway (1994),Comedy
Cobb (1994),Drama
Higher Learning (1995),Drama
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",Documentary
Little Buddha (1993),Drama
Mrs. Parker and the Vicious Circle (1994),Drama
Red Rock West (1992),Thriller
"Man of No Importance, A (1994)",Drama
S.F.W. (1994),Drama
Boys Life (1995),Drama
Federal Hill (1994),Drama
8 Seconds (1994),Drama
"Age of Innocence, The (1993)",Drama
Airheads (1994),Comedy
"Air Up There, The (1994)",Comedy
Being Human (1993),Drama
"Beverly Hillbillies, The (1993)",Comedy
Blink (1994),Thriller
Blue Chips (1994),Drama
"Bronx Tale, A (1993)",Drama
Cabin Boy (1994),Comedy
Clean Slate (1994),Comedy
Cops and Robbersons (1994),Comedy
Dazed and Confused (1993),Comedy
Fatal Instinct (1993),Comedy
Fearless (1993),Drama
Fear of a Black Hat (1994),Comedy
Widows' Peak (1994),Drama
"Fugitive, The (1993)",Thriller
Getting Even with Dad (1994),Comedy
Live Nude Girls (1995),Comedy
House Party 3 (1994),Comedy
"Hudsucker Proxy, The (1994)",Comedy
In the Name of the Father (1993),Drama
Life with Mikey (1993),Comedy
Made in America (1993),Comedy
Malice (1993),Thriller
"Man Without a Face, The (1993)",Drama
In the Realm of the Senses (Ai no corrida) (1976),Drama
Naked (1993),Drama
North (1994),Comedy
Philadelphia (1993),Drama
Poetic Justice (1993),Drama
"Ref, The (1994)",Comedy
"Road to Wellville, The (1994)",Comedy
Robin Hood: Men in Tights (1993),Comedy
Ruby in Paradise (1993),Drama
Rudy (1993),Drama
"Savage Nights (Nuits fauves, Les) (1992)",Drama
Searching for Bobby Fischer (1993),Drama
Short Cuts (1993),Drama
"Simple Twist of Fate, A (1994)",Drama
Sirens (1994),Drama
Six Degrees of Separation (1993),Drama
Sliver (1993),Thriller
"War Room, The (1993)",Documentary
Chasers (1994),Comedy
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama
Princess Caraboo (1994),Drama
"Celluloid Closet, The (1995)",Documentary
"Brady Bunch Movie, The (1995)",Comedy
"Great Day in Harlem, A (1994)",Documentary
"Pallbearer, The (1996)",Comedy
Ed (1996),Comedy
"Thin Line Between Love and Hate, A (1996)",Comedy
Denise Calls Up (1995),Comedy
Theodore Rex (1995),Comedy
Frisk (1995),Drama
Sgt. Bilko (1996),Comedy
Nelly & Monsieur Arnaud (1995),Drama
Moll Flanders (1996),Drama
Eddie (1996),Comedy
Fear (1996),Thriller
Kids in the Hall: Brain Candy (1996),Comedy
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),Action
Song of the Little Road (Pather Panchali) (1955),Drama
"World of Apu, The (Apur Sansar) (1959)",Drama
"Run of the Country, The (1995)",Drama
It's My Party (1996),Drama
Delta of Venus (1995),Drama
Angus (1995),Comedy
Boys (1996),Drama
Sunset Park (1996),Drama
Celtic Pride (1996),Comedy
Multiplicity (1996),Comedy
"Haunted World of Edward D. Wood Jr., The (1996)",Documentary
"Great White Hype, The (1996)",Comedy
Last Dance (1996),Drama
Cold Comfort Farm (1995),Comedy
Cemetery Man (Dellamorte Dellamore) (1994),Horror
Spy Hard (1996),Comedy
"Stupids, The (1996)",Comedy
Ashes of Time (Dung che sai duk) (1994),Drama
Maya Lin: A Strong Clear Vision (1994),Documentary
I Shot Andy Warhol (1996),Drama
Touki Bouki (1973),Drama
Stealing Beauty (1996),Drama
Kingpin (1996),Comedy
"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary
Somebody to Love (1994),Drama
Larger Than Life (1996),Comedy
"Very Brady Sequel, A (1996)",Comedy
"Collector, The (La collectionneuse) (1967)",Drama
"First Wives Club, The (1996)",Comedy
High School High (1996),Comedy
Foxfire (1996),Drama
"Eyes Without a Face (Yeux sans visage, Les) (1959)",Horror
"Spitfire Grill, The (1996)",Drama
Basquiat (1996),Drama
Gone Fishin' (1997),Comedy
Mother Night (1996),Drama
Wild Reeds (Les roseaux sauvages) (1994),Drama
My Favorite Year (1982),Comedy
All About Eve (1950),Drama
"Women, The (1939)",Comedy
Father of the Bride (1950),Comedy
Lost Horizon (1937),Drama
East of Eden (1955),Drama
Mr. Smith Goes to Washington (1939),Drama
Of Human Bondage (1934),Drama
Little Lord Fauntleroy (1936),Drama
Cat on a Hot Tin Roof (1958),Drama
Dangerous Ground (1997),Drama
Picnic (1955),Drama
Michael Collins (1996),Drama
Infinity (1996),Drama
"Chamber, The (1996)",Drama
Cool Runnings (1993),Comedy
"Secret Agent, The (1996)",Drama
Secrets & Lies (1996),Drama
Trees Lounge (1996),Drama
Get on the Bus (1996),Drama
Shadow Conspiracy (1997),Thriller
Jude (1996),Drama
Sleepers (1996),Thriller
Monty Python's Life of Brian (1979),Comedy
"Candidate, The (1972)",Drama
Weekend at Bernie's (1989),Comedy
"Doors, The (1991)",Drama
Glengarry Glen Ross (1992),Drama
Sophie's Choice (1982),Drama
Rebel Without a Cause (1955),Drama
"Streetcar Named Desire, A (1951)",Drama
Children of the Corn IV: The Gathering (1996),Horror
Loser (1991),Comedy
Microcosmos (Microcosmos: Le peuple de l'herbe) (1996),Documentary
"Single Girl, A (Fille seule, La) (1995)",Drama
"Eighth Day, The (Huitième jour, Le) (1996)",Drama
Drunks (1995),Drama
Glory Daze (1995),Drama
"Perfect Candidate, A (1996)",Documentary
On Golden Pond (1981),Drama
"Fog, The (1980)",Horror
Manon of the Spring (Manon des sources) (1986),Drama
Private Benjamin (1980),Comedy
Entertaining Angels: The Dorothy Day Story (1996),Drama
"Line King: The Al Hirschfeld Story, The (1996)",Documentary
When We Were Kings (1996),Documentary
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",Drama
"Children Are Watching Us, The (Bambini ci guardano, I) (1944)",Drama
Mina Tannenbaum (1994),Drama
Dear God (1996),Comedy
Best of the Best 3: No Turning Back (1995),Action
Bob Roberts (1992),Comedy
Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
Hear My Song (1991),Comedy
My Left Foot (1989),Drama
"Sex, Lies, and Videotape (1989)",Drama
Passion Fish (1992),Drama
"Thin Blue Line, The (1988)",Documentary
Paris Is Burning (1990),Documentary
One Flew Over the Cuckoo's Nest (1975),Drama
Cheech and Chong's Up in Smoke (1978),Comedy
Withnail & I (1987),Comedy
12 Angry Men (1957),Drama
To Kill a Mockingbird (1962),Drama
Amadeus (1984),Drama
Raging Bull (1980),Drama
"Right Stuff, The (1983)",Drama
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
Local Hero (1983),Comedy
Dead Poets Society (1989),Drama
"Shining, The (1980)",Horror
Cool Hand Luke (1967),Drama
Raise the Red Lantern (Da hong deng long gao gao gua) (1991),Drama
Heathers (1989),Comedy
This Is Spinal Tap (1984),Comedy
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),Documentary
Gandhi (1982),Drama
"Unbearable Lightness of Being, The (1988)",Drama
Real Genius (1985),Comedy
Hype! (1996),Documentary
Female Perversions (1996),Drama
Amityville 1992: It's About Time (1992),Horror
Amityville 3-D (1983),Horror
Amityville: Dollhouse (1996),Horror
Amityville: A New Generation (1993),Horror
Amityville II: The Possession (1982),Horror
"Amityville Curse, The (1990)",Horror
Blood for Dracula (Andy Warhol's Dracula) (1974),Horror
April Fool's Day (1986),Horror
Audrey Rose (1977),Horror
Burnt Offerings (1976),Horror
Cape Fear (1991),Thriller
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror
Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) (1986),Horror
Sling Blade (1996),Drama
Paradise Lost: The Child Murders at Robin Hood Hills (1996),Documentary
"Preacher's Wife, The (1996)",Drama
Ridicule (1996),Drama
"Crucible, The (1996)",Drama
My Fellow Americans (1996),Comedy
Raising Arizona (1987),Comedy
Bastard Out of Carolina (1996),Drama
Marvin's Room (1996),Drama
Ghosts of Mississippi (1996),Drama
Some Mother's Son (1996),Drama
"Whole Wide World, The (1996)",Drama
Mother (1996),Comedy
"Portrait of a Lady, The (1996)",Drama
Hearts and Minds (1996),Drama
Fierce Creatures (1997),Comedy
Angel Baby (1995),Drama
"Cement Garden, The (1993)",Drama
Meet Wally Sparks (1997),Comedy
Amos & Andrew (1993),Comedy
Prefontaine (1997),Drama
Waiting for Guffman (1996),Comedy
"Pest, The (1997)",Comedy
Vegas Vacation (National Lampoon's Las Vegas Vacation) (1997),Comedy
Liar Liar (1997),Comedy
B*A*P*S (1997),Comedy
Double Team (1997),Action
8 Heads in a Duffel Bag (1997),Comedy
Romy and Michele's High School Reunion (1997),Comedy
Children of the Revolution (1996),Comedy
Broken English (1996),Drama
Fathers' Day (1997),Comedy
"Promise, The (La promesse) (1996)",Drama
Ponette (1996),Drama
Schizopolis (1996),Comedy
"Contempt (Mépris, Le) (1963)",Drama
Out to Sea (1997),Comedy
Love Serenade (1996),Comedy
Career Girls (1997),Drama
Steel (1997),Action
Leave It to Beaver (1997),Comedy
"Kiss Me, Guido (1997)",Comedy
Star Maps (1997),Drama
In & Out (1997),Comedy
Soul Food (1997),Drama
Wishmaster (1997),Horror
"Thousand Acres, A (1997)",Drama
Ulee's Gold (1997),Drama
"Ice Storm, The (1997)",Drama
"Fast, Cheap & Out of Control (1997)",Documentary
Washington Square (1997),Drama
Year of the Horse (1997),Documentary
Hurricane Streets (1997),Drama
Eve's Bayou (1997),Drama
Bean (1997),Comedy
"Rainmaker, The (1997)",Drama
Boogie Nights (1997),Drama
Chairman of the Board (1998),Comedy
"Apostle, The (1997)",Drama
Artemisia (1997),Drama
For Richer or Poorer (1997),Comedy
Stranger in the House (1997),Thriller
"Sweet Hereafter, The (1997)",Drama
Kundun (1997),Drama
Mr. Magoo (1997),Comedy
Senseless (1998),Comedy
Wag the Dog (1997),Comedy
Half Baked (1998),Comedy
"Four Days in September (O Que É Isso, Companheiro?) (1997)",Drama
Spice World (1997),Comedy
Night Flier (1997),Horror
Welcome to Woop-Woop (1997),Comedy
Hush (1998),Thriller
"Cool, Dry Place, A (1998)",Drama
"Odd Couple II, The (1998)",Comedy
My Giant (1998),Comedy
He Got Game (1998),Drama
Krippendorf's Tribe (1998),Comedy
Kurt & Courtney (1998),Documentary
"Real Blonde, The (1997)",Comedy
Taste of Cherry (Ta'm e guilass) (1997),Drama
Character (Karakter) (1997),Drama
Major League: Back to the Minors (1998),Comedy
Clockwatchers (1997),Comedy
"Perfect Murder, A (1998)",Thriller
Beyond Silence (Jenseits der Stille) (1996),Drama
Dr. Dolittle (1998),Comedy
Whatever (1998),Drama
"Life of Emile Zola, The (1937)",Drama
"Lost Weekend, The (1945)",Drama
Gentleman's Agreement (1947),Drama
Hamlet (1948),Drama
All the King's Men (1949),Drama
"Man for All Seasons, A (1966)",Drama
Midnight Cowboy (1969),Drama
Rocky (1976),Drama
Kramer vs. Kramer (1979),Drama
Ordinary People (1980),Drama
Chariots of Fire (1981),Drama
"Last Emperor, The (1987)",Drama
Rain Man (1988),Drama
Driving Miss Daisy (1989),Drama
Metropolitan (1990),Comedy
"Nightmare on Elm Street 2: Freddy's Revenge, A (1985)",Horror
"Nightmare on Elm Street 5: The Dream Child, A (1989)",Horror
"Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991)",Horror
Friday the 13th Part 2 (1981),Horror
Friday the 13th Part 3: 3D (1982),Horror
Friday the 13th Part IV: The Final Chapter (1984),Horror
Friday the 13th Part V: A New Beginning (1985),Horror
Friday the 13th Part VI: Jason Lives (1986),Horror
Friday the 13th Part VII: The New Blood (1988),Horror
Friday the 13th Part VIII: Jason Takes Manhattan (1989),Horror
Halloween (1978),Horror
Halloween II (1981),Horror
Halloween III: Season of the Witch (1982),Horror
Halloween 4: The Return of Michael Myers (1988),Horror
Halloween 5: The Revenge of Michael Myers (1989),Horror
Prom Night (1980),Horror
Prom Night IV: Deliver Us From Evil (1992),Horror
Exorcist II: The Heretic (1977),Horror
"Exorcist III, The (1990)",Horror
Polish Wedding (1998),Comedy
"Last Temptation of Christ, The (1988)",Drama
BASEketball (1998),Comedy
Roger & Me (1989),Documentary
"Trip to Bountiful, The (1985)",Drama
And the Band Played On (1993),Drama
"'burbs, The (1989)",Comedy
Fandango (1985),Comedy
Tex (1982),Drama
"Jerk, The (1979)",Comedy
"Man with Two Brains, The (1983)",Comedy
"Outsiders, The (1983)",Drama
"Dead Zone, The (1983)",Thriller
Maximum Overdrive (1986),Horror
Autumn Sonata (Höstsonaten) (1978),Drama
Who's Afraid of Virginia Woolf? (1966),Drama
"Gods Must Be Crazy II, The (1989)",Comedy
Dead Man on Campus (1998),Comedy
Frenzy (1972),Thriller
Topaz (1969),Thriller
Torn Curtain (1966),Thriller
I Confess (1953),Thriller
54 (1998),Drama
Why Do Fools Fall In Love? (1998),Drama
Dirty Work (1998),Comedy
Knock Off (1998),Action
"Paradine Case, The (1947)",Drama
Jamaica Inn (1939),Drama
Sabotage (1936),Thriller
Secret Agent (1936),Thriller
"Ring, The (1927)",Drama
Rounders (1998),Drama
Simon Birch (1998),Drama
My Bodyguard (1980),Drama
Class (1983),Comedy
Married to the Mob (1988),Comedy
My Blue Heaven (1990),Comedy
Young Doctors in Love (1982),Comedy
One Crazy Summer (1986),Comedy
Permanent Midnight (1998),Drama
One True Thing (1998),Drama
"Sheltering Sky, The (1990)",Drama
"Fiendish Plot of Dr. Fu Manchu, The (1980)",Comedy
"Impostors, The (1998)",Comedy
"Night at the Roxbury, A (1998)",Comedy
Strangeland (1998),Thriller
"Producers, The (1968)",Comedy
My Cousin Vinny (1992),Comedy
Love Is the Devil (1998),Drama
Holy Man (1998),Comedy
"Mighty, The (1998)",Drama
2010: The Year We Make Contact (1984),Sci-Fi
Children of a Lesser God (1986),Drama
"Elephant Man, The (1980)",Drama
Beloved (1998),Drama
"Cruise, The (1998)",Documentary
Orgazmo (1997),Comedy
Gods and Monsters (1998),Drama
"Waterboy, The (1998)",Comedy
Elizabeth (1998),Drama
Velvet Goldmine (1998),Drama
"Pope of Greenwich Village, The (1984)",Drama
Sid and Nancy (1986),Drama
Heart Condition (1990),Comedy
"Nights of Cabiria (Notti di Cabiria, Le) (1957)",Drama
Celebrity (1998),Comedy
Central Station (Central do Brasil) (1998),Drama
Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy
"Celebration, The (Festen) (1998)",Drama
Pink Flamingos (1972),Comedy
Glen or Glenda (1953),Drama
Fletch Lives (1989),Comedy
"Money Pit, The (1986)",Comedy
Little Voice (1998),Comedy
Back to School (1986),Comedy
Nothing in Common (1986),Comedy
"Karate Kid, The (1984)",Drama
Christmas Vacation (National Lampoon's Christmas Vacation) (1989),Comedy
Stepmom (1998),Drama
"Civil Action, A (1998)",Drama
Hurlyburly (1998),Drama
Affliction (1997),Drama
Hilary and Jackie (1998),Drama
At First Sight (1999),Drama
"Gate, The (1987)",Horror
"Texas Chainsaw Massacre, The (1974)",Horror
"Texas Chainsaw Massacre 2, The (1986)",Horror
Texas Chainsaw Massacre: The Next Generation (a.k.a. The Return of the Texas Chainsaw Massacre) (1994),Horror
Ruthless People (1986),Comedy
Deadly Friend (1986),Horror
Tough Guys (1986),Comedy
Soul Man (1986),Comedy
"Color of Money, The (1986)",Drama
"Harmonists, The (1997)",Drama
"Last Days, The (1998)",Documentary
Jawbreaker (1999),Comedy
October Sky (1999),Drama
"Apple, The (Sib) (1998)",Drama
"Ballad of Narayama, The (Narayama bushiko) (1983)",Drama
Pet Sematary (1989),Horror
Children of the Corn II: The Final Sacrifice (1993),Horror
Children of the Corn III (1994),Horror
Christine (1983),Horror
Night Shift (1982),Comedy
Airport (1970),Drama
Airport '77 (1977),Drama
Meteor (1979),Sci-Fi
Avalanche (1978),Action
Dancemaker (1998),Documentary
Analyze This (1999),Comedy
Cruel Intentions (1999),Drama
"Deep End of the Ocean, The (1999)",Drama
"Rage: Carrie 2, The (1999)",Horror
My Boyfriend's Back (1993),Comedy
Baby Geniuses (1999),Comedy
Dangerous Beauty (1998),Drama
EDtv (1999),Comedy
"Out-of-Towners, The (1999)",Comedy
"Dreamlife of Angels, The (Vie rêvée des anges, La) (1998)",Drama
Hideous Kinky (1998),Drama
"Monster, The (Mostro, Il) (1994)",Comedy
Pushing Tin (1999),Comedy
Election (1999),Comedy
"King of Masks, The (Bian Lian) (1996)",Drama
"Winslow Boy, The (1999)",Drama
"Castle, The (1997)",Comedy
Trippin' (1999),Comedy
Besieged (a.k.a. L' Assedio) (1998),Drama
"Mummy, The (1959)",Horror
Mommie Dearest (1981),Drama
Dracula (1931),Horror
Frankenstein Meets the Wolf Man (1943),Horror
"Curse of Frankenstein, The (1957)",Horror
Howling II: Your Sister Is a Werewolf (1985),Horror
It Came from Outer Space (1953),Sci-Fi
Earth vs. the Flying Saucers (1956),Sci-Fi
Limbo (1999),Drama
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)",Drama
Trekkies (1997),Documentary
Big Daddy (1999),Comedy
"Boys, The (1998)",Drama
"Dinner Game, The (Dîner de cons, Le) (1998)",Comedy
Zone 39 (1997),Sci-Fi
Summer of Sam (1999),Drama
Arlington Road (1999),Thriller
Drop Dead Gorgeous (1999),Comedy
Twin Falls Idaho (1999),Drama
Brighton Beach Memoirs (1986),Comedy
"Color Purple, The (1985)",Drama
Native Son (1986),Drama
Otello (1986),Drama
"Mission, The (1986)",Drama
Deadtime Stories (1987),Horror
Frances (1982),Drama
Dick (1999),Comedy
Bowfinger (1999),Comedy
Brokedown Palace (1999),Drama
Detroit Rock City (1999),Comedy
Head On (1998),Drama
Heaven Can Wait (1978),Comedy
Pit and the Pendulum (1961),Horror
"Masque of the Red Death, The (1964)",Horror
Haunted Honeymoon (1986),Comedy
Cat's Eye (1985),Horror
Monty Python's And Now for Something Completely Different (1971),Comedy
Damien: Omen II (1978),Horror
Airplane! (1980),Comedy
Airplane II: The Sequel (1982),Comedy
National Lampoon's Vacation (1983),Comedy
Funny Farm (1988),Comedy
Problem Child 2 (1991),Comedy
"Source, The (1999)",Documentary
Aces: Iron Eagle III (1992),Action
Hamlet (1964),Drama
"Muse, The (1999)",Comedy
Outside Providence (1999),Comedy
West Beirut (West Beyrouth) (1998),Drama
"Othello (Tragedy of Othello: The Moor of Venice, The) (1952)",Drama
"Soldier's Story, A (1984)",Drama
I Saw What You Did (1965),Thriller
Blue Streak (1999),Comedy
Caligula (1979),Drama
Sugar Town (1999),Comedy
"Buddy Holly Story, The (1978)",Drama
Fright Night Part II (1988),Horror
Barefoot in the Park (1967),Comedy
Hell Night (1981),Horror
Jakob the Liar (1999),Drama
"Happy, Texas (1999)",Comedy
Superstar (1999),Comedy
Boys Don't Cry (1999),Drama
Risky Business (1983),Comedy
Ferris Bueller's Day Off (1986),Comedy
"Conformist, The (Conformista, Il) (1970)",Drama
"Razor's Edge, The (1984)",Drama
Return with Honor (1998),Documentary
Days of Heaven (1978),Drama
"Palm Beach Story, The (1942)",Comedy
Julien Donkey-Boy (1999),Drama
"Omega Code, The (1999)",Action
Bringing Out the Dead (1999),Drama
Body Shots (1999),Drama
"Ipcress File, The (1965)",Thriller
On Any Sunday (1971),Documentary
Melvin and Howard (1980),Drama
Music of the Heart (1999),Drama
My Best Fiend (Mein liebster Feind) (1999),Documentary
"Bone Collector, The (1999)",Thriller
American Movie (1999),Documentary
Rosetta (1999),Drama
"They Shoot Horses, Don't They? (1969)",Drama
Bustin' Loose (1981),Comedy
Coma (1978),Thriller
Creepshow (1982),Horror
Creepshow 2 (1987),Horror
"Funhouse, The (1981)",Horror
"Taming of the Shrew, The (1967)",Comedy
Repossessed (1990),Comedy
"Face in the Crowd, A (1957)",Drama
Trading Places (1983),Comedy
Meatballs (1979),Comedy
Meatballs Part II (1984),Comedy
Meatballs III (1987),Comedy
Meatballs 4 (1992),Comedy
Under the Rainbow (1981),Comedy
Felicia's Journey (1999),Thriller
Where's Marlowe? (1998),Comedy
Irma la Douce (1963),Comedy
42 Up (1998),Documentary
Liberty Heights (1999),Drama
All About My Mother (Todo sobre mi madre) (1999),Drama
Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama
Matewan (1987),Drama
"Grapes of Wrath, The (1940)",Drama
My Man Godfrey (1957),Comedy
"Natural, The (1984)",Drama
"River Runs Through It, A (1992)",Drama
"River, The (1984)",Drama
Places in the Heart (1984),Drama
'night Mother (1986),Drama
Flawless (1999),Drama
"Distinguished Gentleman, The (1992)",Comedy
"End of the Affair, The (1999)",Drama
"Great Santini, The (1979)",Drama
Stealing Home (1988),Drama
"Two Jakes, The (1990)",Drama
Cradle Will Rock (1999),Drama
Deuce Bigalow: Male Gigolo (1999),Comedy
"Cider House Rules, The (1999)",Drama
"Last Picture Show, The (1971)",Drama
"Emperor and the Assassin, The (Jing ke ci qin wang) (1999)",Drama
Magnolia (1999),Drama
Room at the Top (1959),Drama
Any Given Sunday (1999),Drama
Next Friday (2000),Comedy
"Hurricane, The (1999)",Drama
Angela's Ashes (1999),Drama
Titus (1999),Drama
"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr. (1999)",Documentary
"Third Miracle, The (1999)",Drama
Snow Falling on Cedars (1999),Drama
"Girl, Interrupted (1999)",Drama
"Terrorist, The (a.k.a. Malli) (Theeviravaathi) (1998)",Drama
Five Easy Pieces (1970),Drama
Dead Calm (1989),Thriller
"Cry in the Dark, A (1988)",Drama
American Flyers (1985),Drama
"Star Is Born, A (1937)",Drama
"Draughtsman's Contract, The (1982)",Drama
"Zed & Two Noughts, A (1985)",Drama
Woman in the Dunes (Suna no onna) (1964),Drama
"Odessa File, The (1974)",Thriller
Where the Buffalo Roam (1980),Comedy
Eye of the Beholder (1999),Thriller
"Big Tease, The (1999)",Comedy
"Cup, The (Phörpa) (1999)",Comedy
Encino Man (1992),Comedy
Malcolm X (1992),Drama
Sister Act 2: Back in the Habit (1993),Comedy
Alive (1993),Drama
Scent of a Woman (1992),Drama
Wayne's World (1992),Comedy
Wayne's World 2 (1993),Comedy
Howards End (1992),Drama
Of Mice and Men (1992),Drama
Gun Shy (2000),Comedy
"Baby, The (1973)",Horror
"Brandon Teena Story, The (1998)",Documentary
Minnie and Moskowitz (1971),Action
Snow Day (2000),Comedy
Not One Less (Yi ge dou bu neng shao) (1999),Drama
Eaten Alive (1977),Horror
Raining Stones (1993),Drama
To Sir with Love (1967),Drama
Beautiful People (1999),Comedy
Black Tar Heroin: The Dark End of the Street (2000),Documentary
"Circus, The (1928)",Comedy
Class Reunion (1982),Comedy
Drowning Mona (2000),Comedy
Beyond the Mat (1999),Documentary
My Tutor (1983),Drama
For All Mankind (1989),Documentary
Born Yesterday (1950),Comedy
Blood Feast (1963),Horror
"Raisin in the Sun, A (1961)",Drama
Mission to Mars (2000),Sci-Fi
Daughters of the Dust (1991),Drama
"Ogre, The (Unhold, Der) (1996)",Drama
On the Beach (1959),Drama
Volunteers (1985),Comedy
Who's That Girl? (1987),Comedy
She-Devil (1989),Comedy
Nadine (1987),Comedy
Erin Brockovich (2000),Drama
"Mirror, The (Zerkalo) (1975)",Drama
Animal House (1978),Comedy
School Daze (1988),Drama
Do the Right Thing (1989),Drama
"Champ, The (1979)",Drama
Bloodsport (1988),Action
"Good Earth, The (1937)",Drama
"Good Mother, The (1988)",Drama
Grumpy Old Men (1993),Comedy
Guess Who's Coming to Dinner (1967),Drama
"Color of Paradise, The (Rang-e khoda) (1999)",Drama
"Hustler, The (1961)",Drama
Inherit the Wind (1960),Drama
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976),Comedy
"Bamba, La (1987)",Drama
"Skulls, The (2000)",Thriller
Madame Sousatzka (1988),Drama
Max Dugan Returns (1983),Comedy
Midnight Express (1978),Drama
My Life (1993),Drama
"Odd Couple, The (1968)",Comedy
Ready to Rumble (2000),Comedy
Joe Gould's Secret (2000),Drama
Bachelor Party (1984),Comedy
28 Days (2000),Drama
East is East (1999),Comedy
"Filth and the Fury, The (2000)",Documentary
Shakes the Clown (1992),Comedy
The Hunger (1983),Horror
Caddyshack (1980),Comedy
Up at the Villa (2000),Drama
Human Traffic (1999),Comedy
Inferno (1980),Horror
Screwed (2000),Comedy
Whipped (2000),Comedy
Regret to Inform (1998),Documentary
Road Trip (2000),Comedy
"Hollywood Knights, The (1980)",Comedy
"Twelve Chairs, The (1970)",Comedy
